,farm_season_id,programme_year,farm_season_field_id,farm_season_field_name,has_cover_crops,irrigated,organic_matter,soil_ph,declared_tillage_name,field_permament_crop,crop_name,yield,em_ghg_total
0,1208,1,16515,Champ 0,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
1,1208,1,16516,SB,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.18942
2,1208,1,16517,Champ 2,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
3,1208,1,16518,POMP,False,True,1.7,6.4,conventional till,False,Durum winter wheat,5.3,2.06832
4,1208,1,16519,PIV1,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.15803
5,1208,1,16520,arrondi PIV2,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.15802
6,1208,1,16521,pomp,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.17587
7,1208,1,16522,PIV2,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.1682
9,1208,1,16523,BOUL,False,True,1.7,7.9,reduced till,False,Winter barley 6 rows,7.1,0.93574
10,1208,1,16524,Champ 9,False,False,1.2,6.4,reduced till,True,Permanent pasture,0.0,
12,1208,1,16525,Trame,False,True,1.7,6.4,reduced till,False,Sunflower,2.7,0.12524
13,1208,1,16526,TRAM,True,True,1.7,5.0,reduced till,False,Grain corn,12.6,1.12696
14,1208,1,16527,Sb,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.1682
15,1208,1,16528,arrondi PIV1,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.15803
17,1208,1,16529,tram,False,True,1.7,6.4,reduced till,False,Winter barley 6 rows,7.1,1.12964
18,1208,1,16530,Champ 15,False,False,1.2,6.4,no tillage,True,Permanent pasture,0.0,
19,1208,1,16531,PTU,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.12843
20,1208,1,16532,Champ 17,False,False,1.2,6.4,no tillage,True,Permanent pasture,0.0,
21,1208,1,16533,ptu,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.19619
22,1208,1,16535,Champ 20,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
23,1208,1,16536,PH3,True,True,1.7,7.9,reduced till,False,Grain corn,12.6,1.04001
24,1208,1,16537,Champ 22,False,False,1.7,7.9,no tillage,True,Permanent pasture,0.0,
25,1208,1,16538,PH4,True,True,1.7,6.4,reduced till,False,Grain corn,12.6,1.1682
26,1208,1,16539,PH5,False,True,1.7,6.4,conventional till,False,Durum winter wheat,5.3,2.15566
27,1208,1,16540,Champ 25,False,False,1.7,7.9,no tillage,True,Permanent pasture,0.0,
28,1208,1,16541,Champ 26,False,False,1.2,6.4,no tillage,True,Permanent pasture,0.0,
29,1208,1,16542,LONG,True,True,1.7,7.9,reduced till,False,Grain corn,12.6,1.04678
30,1208,1,16543,Champ 28,False,False,1.2,7.9,no tillage,True,Permanent pasture,0.0,
31,1208,1,16544,Champ 29,False,False,1.2,7.9,no tillage,True,Permanent pasture,0.0,
32,1208,1,16545,Champ 30,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
33,1208,1,16546,SM,False,False,1.7,7.9,reduced till,False,Durum winter wheat,5.3,1.2579
34,1208,1,16547,Champ 32,False,False,1.7,7.9,no tillage,True,Permanent pasture,0.0,
35,1208,1,16548,Champ 33,False,False,1.7,7.9,no tillage,True,Permanent pasture,0.0,
36,1208,1,16549,MONT,True,False,1.7,7.9,reduced till,False,Sunflower,2.7,-0.46258
37,1208,1,16550,Champ 35,False,False,1.7,7.9,no tillage,True,Permanent pasture,0.0,
38,1208,1,16551,Champ 36,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
39,1208,1,16552,MONT EST,False,False,1.7,7.9,reduced till,False,Horse bean,1.4,-0.25511
40,1208,1,16553,Champ 38,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
41,1208,1,16554,FM,False,False,1.7,6.4,reduced till,False,Durum winter wheat,5.3,1.46052
42,1208,1,16555,Champ 40,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
43,1208,1,16556,FF,False,False,1.7,6.4,reduced till,False,Durum winter wheat,5.3,1.53826
44,1208,1,16557,pré du GFA,False,False,1.7,6.4,reduced till,True,Permanent pasture,0.0,
45,2271,2,43607,Champ 0,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
46,2271,2,43608,SB,True,True,1.7,6.4,reduced till,False,Grain corn,11.8,0.80586
47,2271,2,43609,Champ 2,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
48,2271,2,43610,POMP,True,True,1.7,6.4,reduced till,False,Grain corn,11.8,1.31298
49,2271,2,43611,PIV1,False,True,1.7,6.4,reduced till,False,Horse bean,2.1,-0.06449
50,2271,2,43612,arrondi PIV2,True,True,1.7,6.4,reduced till,False,Grain corn,11.8,0.86198
51,2271,2,43613,pomp,True,True,1.7,6.4,reduced till,False,Grain corn,11.8,0.89039
52,2271,2,43614,PIV2,True,True,1.7,6.4,reduced till,False,Grain corn,11.8,0.80228
53,2271,2,43615,BOUL,False,True,1.7,7.9,reduced till,False,Durum winter wheat,4.9,1.18073
54,2271,2,43616,Champ 9,False,False,1.2,6.4,no tillage,True,Permanent pasture,0.0,
55,2271,2,43618,TRAM,True,True,1.7,5.0,reduced till,False,Grain corn,11.8,0.76022
56,2271,2,43619,Sb,True,True,1.7,6.4,reduced till,False,Grain corn,11.8,0.87981
57,2271,2,43622,Champ 15,False,False,1.2,6.4,no tillage,True,Permanent pasture,0.0,
58,2271,2,43623,PTU,True,True,1.7,6.4,reduced till,False,Grain corn,11.8,0.99573
59,2271,2,43624,Champ 17,False,False,1.2,6.4,no tillage,True,Permanent pasture,0.0,
60,2271,2,43625,ptu,True,True,1.7,6.4,reduced till,False,Grain corn,11.8,0.82724
61,2271,2,43626,Champ 20,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
62,2271,2,43627,PH3,True,True,1.7,7.9,reduced till,False,Grain corn,11.8,0.76717
63,2271,2,43628,Champ 22,False,False,1.7,7.9,no tillage,True,Permanent pasture,0.0,
64,2271,2,43629,PH4,True,True,1.7,6.4,reduced till,False,Grain corn,11.8,0.87625
65,2271,2,43630,PH5,True,True,1.7,6.4,reduced till,False,Grain corn,11.8,1.33616
66,2271,2,43631,Champ 25,False,False,1.7,7.9,no tillage,True,Permanent pasture,0.0,
67,2271,2,43632,Champ 26,False,False,1.2,6.4,no tillage,True,Permanent pasture,0.0,
68,2271,2,43634,Champ 28,False,False,1.2,7.9,no tillage,True,Permanent pasture,0.0,
69,2271,2,43636,Champ 30,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
70,2271,2,43637,SM,True,False,1.7,7.9,reduced till,False,Sunflower,1.8,-0.64255
71,2271,2,43638,Champ 32,False,False,1.7,7.9,no tillage,True,Permanent pasture,0.0,
72,2271,2,43639,Champ 33,False,False,1.7,7.9,no tillage,True,Permanent pasture,0.0,
73,2271,2,43640,MONT,False,False,1.7,7.9,reduced till,False,Durum winter wheat,4.9,0.93597
74,2271,2,43641,Champ 35,False,False,1.7,7.9,no tillage,True,Permanent pasture,0.0,
75,2271,2,43642,Champ 36,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
76,2271,2,43643,MONT EST,False,False,1.7,7.9,reduced till,False,Winter rapeseed,2.4,-0.15209
77,2271,2,43644,Champ 38,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
78,2271,2,43645,FM,True,False,1.7,6.4,reduced till,False,Sunflower,1.8,-0.60569
79,2271,2,43646,Champ 40,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
80,2271,2,43647,FF,True,False,1.7,6.4,reduced till,False,Sunflower,1.8,-0.60569
81,2271,2,43648,pré du GFA,False,False,1.7,6.4,no tillage,True,Permanent pasture,0.0,
82,2271,2,44016,Tram,False,False,,,reduced till,False,Durum winter wheat,4.9,1.30909096458773
83,2271,2,44017,Trame,False,True,,,reduced till,False,Horse bean,2.1,-0.14946695719443
85,2271,2,45989,LONG 1,False,True,,,reduced till,False,Spring barley 2 rows,4.5,0.84145
86,2271,2,45990,LONG 2,False,False,,,reduced till,False,Horse bean,2.1,-0.2095
87,2271,2,45991,Champ 29,False,False,,,no tillage,True,Permanent pasture,0.0,
88,3741,3,125008,Champ 0,False,False,1.7,6.4,,True,Permanent pasture,0.0,
89,3741,3,125009,SB,True,True,1.7,6.4,reduced till,False,Grain corn,11.6,0.17385
90,3741,3,125010,Champ 2,False,False,1.7,6.4,,True,Permanent pasture,0.0,
91,3741,3,125011,POMP,False,True,1.7,6.4,reduced till,False,Grain corn,11.6,0.89399
92,3741,3,125012,PIV1,True,False,1.7,6.4,reduced till,False,Durum winter wheat,4.61,0.36576
93,3741,3,125013,arrondi PIV2,False,False,1.7,6.4,reduced till,False,Winter barley 6 rows,5.6,0.62172
94,3741,3,125014,pomp,False,True,1.7,6.4,reduced till,False,Grain corn,11.6,0.86974
95,3741,3,125015,PIV2,False,False,1.7,6.4,reduced till,False,Winter barley 6 rows,5.6,0.6217
96,3741,3,125016,BOUL,True,True,1.7,7.9,reduced till,False,Grain corn,11.6,0.07636
97,3741,3,125017,Champ 9,False,False,1.2,6.4,,True,Permanent pasture,0.0,
98,3741,3,125018,TRAM,True,True,1.7,5.0,reduced till,False,Sunflower,3.1,-0.38397
99,3741,3,125019,Sb,False,False,1.7,6.4,reduced till,False,Winter barley 6 rows,5.6,0.6217
100,3741,3,125020,Champ 15,False,False,1.2,6.4,,True,Permanent pasture,0.0,
101,3741,3,125021,PTU,False,False,1.7,6.4,reduced till,False,Winter barley 6 rows,5.6,0.6217
102,3741,3,125022,Champ 17,False,False,1.2,6.4,,True,Permanent pasture,0.0,
103,3741,3,125023,ptu,False,False,1.7,6.4,reduced till,False,Winter barley 6 rows,5.6,0.62171
104,3741,3,125024,Champ 20,False,False,1.7,6.4,,True,Permanent pasture,0.0,
105,3741,3,125025,PH3,True,True,1.7,7.9,reduced till,False,Grain corn,11.6,0.08406
106,3741,3,125026,Champ 22,False,False,1.7,7.9,,True,Permanent pasture,0.0,
107,3741,3,125027,PH4,True,True,1.7,6.4,reduced till,False,Grain corn,11.6,0.19655
108,3741,3,125028,PH5,True,True,1.7,6.4,reduced till,False,Sunflower,3.1,-0.34102
109,3741,3,125029,Champ 25,False,False,1.7,7.9,,True,Permanent pasture,0.0,
110,3741,3,125030,Champ 26,False,False,1.2,6.4,,True,Permanent pasture,0.0,
111,3741,3,125031,Champ 28,False,False,1.2,7.9,,True,Permanent pasture,0.0,
112,3741,3,125032,Champ 30,False,False,1.7,6.4,,True,Permanent pasture,0.0,
113,3741,3,125033,SM,False,False,1.7,7.9,reduced till,False,Durum winter wheat,4.61,1.32464
114,3741,3,125034,Champ 32,False,False,1.7,7.9,,True,Permanent pasture,0.0,
115,3741,3,125035,Champ 33,False,False,1.7,7.9,,True,Permanent pasture,0.0,
116,3741,3,125036,MONT,True,False,1.7,7.9,reduced till,False,Horse bean,3.0,-0.83803
117,3741,3,125037,Champ 35,False,False,1.7,7.9,,True,Permanent pasture,0.0,
118,3741,3,125038,Champ 36,False,False,1.7,6.4,,True,Permanent pasture,0.0,
119,3741,3,125039,MONT EST,True,False,1.7,7.9,reduced till,False,Durum winter wheat,4.61,0.62255
120,3741,3,125040,Champ 38,False,False,1.7,6.4,,True,Permanent pasture,0.0,
121,3741,3,125041,FM,False,False,1.7,6.4,reduced till,False,Durum winter wheat,4.61,1.46268
122,3741,3,125042,Champ 40,False,False,1.7,6.4,,True,Permanent pasture,0.0,
123,3741,3,125043,FF,False,False,1.7,6.4,reduced till,False,Durum winter wheat,4.61,1.46267
124,3741,3,125044,pré du GFA,False,False,1.7,6.4,,True,Permanent pasture,0.0,
125,3741,3,125045,Tram,True,False,,,reduced till,False,Horse bean,3.0,-0.78696
126,3741,3,125046,Trame,True,False,,,reduced till,False,Durum winter wheat,4.61,0.36577
127,3741,3,125047,LONG 1,False,False,,,reduced till,False,Durum winter wheat,4.61,1.32461
128,3741,3,125048,LONG 2,True,False,,,reduced till,False,Durum winter wheat,4.61,0.62257
129,3741,3,125049,Champ 29,False,False,,,,True,Permanent pasture,0.0,
130,7283,4,360906,Champ 0,False,False,1.7,,,True,Permanent pasture,0.0,
131,7283,4,360907,SB,True,True,1.7,6.4,reduced till,False,Grain corn,12.2,0.420319109461994
132,7283,4,360908,Champ 2,False,False,1.7,,,True,Permanent pasture,0.0,
133,7283,4,360909,POMP,False,False,1.7,6.4,reduced till,False,Horse bean,2.8,-0.049375927452592
134,7283,4,360910,PIV1,True,True,1.7,6.4,reduced till,False,Grain corn,12.2,0.44762051792829
135,7283,4,360911,arrondi PIV2,True,True,1.7,6.4,reduced till,False,Grain corn,12.2,0.45400000000002
136,7283,4,360912,pomp,True,True,1.7,6.4,reduced till,False,Grain corn,12.2,0.410511627906982
137,7283,4,360913,PIV2,True,True,1.7,6.4,reduced till,False,Grain corn,12.2,0.45399405646355
138,7283,4,360914,BOUL,True,True,1.7,7.9,reduced till,False,Sunflower,2.7,-0.722223942823071
139,7283,4,360915,Champ 9,False,False,1.2,,,True,Permanent pasture,0.0,
140,7283,4,360916,TRAM,False,False,1.7,5.0,reduced till,False,Durum winter wheat,5.4,0.94389382448537
141,7283,4,360917,Sb,True,True,1.7,6.4,reduced till,False,Grain corn,12.2,0.45399159663867
142,7283,4,360918,Champ 15,False,False,1.2,,,True,Permanent pasture,0.0,
143,7283,4,360919,PTU,True,True,1.7,6.4,reduced till,False,Grain corn,12.2,0.4227692307692
144,7283,4,360920,Champ 17,False,False,1.2,,,True,Permanent pasture,0.0,
145,7283,4,360921,ptu,True,True,1.7,6.4,reduced till,False,Grain corn,12.2,0.423985714285721
146,7283,4,360922,Champ 20,False,False,1.7,,,True,Permanent pasture,0.0,
147,7283,4,360923,PH3,True,True,1.7,7.9,reduced till,False,Grain corn,12.2,0.44206278026901
148,7283,4,360924,Champ 22,False,False,1.7,,,True,Permanent pasture,0.0,
149,7283,4,360925,PH4,False,False,1.7,6.4,reduced till,False,Winter barley 6 rows,6.1,0.458470639789645
150,7283,4,360926,PH5,False,False,1.7,6.4,reduced till,False,Durum winter wheat,5.4,0.95262555555555
151,7283,4,360927,Champ 25,False,False,1.7,,,True,Permanent pasture,0.0,
152,7283,4,360928,Champ 26,False,False,1.2,,,True,Permanent pasture,0.0,
153,7283,4,360929,Champ 28,False,False,1.2,,,True,Permanent pasture,0.0,
154,7283,4,360930,Champ 30,False,False,1.7,,,True,Permanent pasture,0.0,
155,7283,4,360931,SM,True,False,1.7,7.9,reduced till,False,Sunflower,2.7,-0.59789024390248
156,7283,4,360932,Champ 32,False,False,1.7,,,True,Permanent pasture,0.0,
157,7283,4,360933,Champ 33,False,False,1.7,,,True,Permanent pasture,0.0,
158,7283,4,360934,MONT,True,False,1.7,7.9,reduced till,False,Durum winter wheat,5.4,-0.10894113149844
159,7283,4,360935,Champ 35,False,False,1.7,,,True,Permanent pasture,0.0,
160,7283,4,360936,Champ 36,False,False,1.7,,,True,Permanent pasture,0.0,
161,7283,4,360937,MONT EST,True,False,1.7,7.9,reduced till,False,Horse bean,2.8,-0.802504825538228
162,7283,4,360938,Champ 38,False,False,1.7,,,True,Permanent pasture,0.0,
163,7283,4,360939,FM,True,False,1.7,6.4,reduced till,False,Sunflower,2.7,-0.559915
164,7283,4,360940,Champ 40,False,False,1.7,,,True,Permanent pasture,0.0,
165,7283,4,360941,FF,True,False,1.7,6.4,reduced till,False,Sunflower,2.7,-0.55991256830599
166,7283,4,360942,pré du GFA,False,False,1.7,,,True,Permanent pasture,0.0,
167,7283,4,360943,Tram,True,True,,,reduced till,False,Grain corn,12.2,0.42522072429293
168,7283,4,360944,Trame,True,True,,,reduced till,False,Grain corn,12.2,0.46134814814814
169,7283,4,360945,LONG 1,True,True,,,reduced till,False,Grain corn,12.2,0.44206340439633
170,7283,4,360946,LONG 2,True,True,,,reduced till,False,Grain corn,12.2,0.405940366972419
171,7283,4,360947,Champ 29,False,False,,,,True,Permanent pasture,0.0,
